# i,scycle,rvalve,cvalve,ivalve,draws
685,42,-2000,-1500,1500,0
686,42,-2000,-1500,1500,0
687,43,-2000,-1500,1500,0
688,43,-2000,-1500,1500,0
689,43,-2000,-1500,1500,16
690,43,-2000,-1500,1500,0
691,43,-2000,-1500,1500,0
692,43,-2000,-1500,1500,0
693,43,-2000,-1500,1500,0
694,43,-2000,-1500,1500,0
695,43,-2000,-1500,1500,0
696,43,-2000,-1500,1500,0
697,43,-2000,-1500,1500,0
698,43,-2000,-1500,1500,0
699,43,-2000,-1500,1500,0
700,43,-2000,-1500,1500,0
701,43,-2000,-1500,1500,0
702,43,-2000,-1500,1500,0
703,44,-2000,-1500,1500,0
704,44,-2000,-1500,1500,0
705,44,-2000,-1500,1500,16
706,44,-2000,-1500,1500,0
707,44,-2000,-1500,1500,0
708,44,-2000,-1500,1500,0
709,44,-2000,-1500,1500,0
710,44,-2000,-1500,1500,0
711,44,-2000,-1500,1500,0
712,44,-2000,-1500,1500,0
713,44,-2000,-1500,1500,0
714,44,-2000,-1500,1500,0
715,44,-2000,-1500,1500,0
716,44,-2000,-1500,1500,0
717,44,-2000,-1500,1500,0
718,44,-2000,-1500,1500,0
719,45,-2000,-1500,1500,0
720,45,-2000,-1500,1500,0
721,45,-2000,-1500,1500,6
722,45,-2000,-1500,1500,0
723,45,-2000,-1500,1500,0
724,45,-2000,-1500,1500,0
725,45,-2000,-1500,1500,0
726,45,-2000,-1500,1500,0
727,45,-2000,-1500,1500,0
728,45,-2000,-1500,1500,0
729,45,-2000,-1500,1500,0
730,45,-2000,-1500,1500,0
731,45,-2000,-1500,1500,0
732,45,-2000,-1500,1500,0
733,45,-2000,-1500,1500,0
734,45,-2000,-1500,1500,0
735,46,-2000,-1500,1500,0
736,46,-2000,-1500,1500,0
737,46,-2000,-1500,1500,6
738,46,-2000,-1500,1500,0
739,46,-2000,-1500,1500,0
740,46,-2000,-1500,1500,0
741,46,-2000,-1500,1500,0
742,46,-2000,-1500,1500,0
743,46,-2000,-1500,1500,0
744,46,-2000,-1500,1500,0
745,46,-2000,-1500,1500,0
746,46,-2000,-1500,1500,0
747,46,-2000,-1500,1500,0
748,46,-2000,-1500,1500,0
749,46,-2000,-1500,1500,0
750,46,-2000,-1500,1500,0
751,47,-2000,-1500,1500,0
752,47,-2000,-1500,1500,0
753,47,-2000,-1500,1500,16
754,47,-2000,-1500,1500,0
755,47,-2000,-1500,1500,0
756,47,-2000,-1500,1500,0
757,47,-2000,-1500,1500,0
758,47,-2000,-1500,1500,0
759,47,-2000,-1500,1500,0
760,47,-2000,-1500,1500,0
761,47,-2000,-1500,1500,0
762,47,-2000,-1500,1500,0
763,47,-2000,-1500,1500,0
764,47,-2000,-1500,1500,0
765,47,-2000,-1500,1500,0
766,47,-2000,-1500,1500,0
767,48,-2000,-1500,1500,0
768,48,-2000,-1500,1500,0
769,48,-2000,-1500,1500,6
770,48,-2000,-1500,1500,0
771,48,-2000,-1500,1500,0
772,48,-2000,-1500,1500,0
773,48,-2000,-1500,1500,0
774,48,-2000,-1500,1500,0
775,48,-2000,-1500,1500,0
776,48,-2000,-1500,1500,705
777,48,-2000,-1500,1500,0
778,48,-2000,-1500,1500,0
779,48,-2000,-1500,1500,0
